A07	Reti	Reti	King's Indian attack (with ...c5)	1. Nf3 d5 2. g3 c5
A08	Reti	Reti	King's Indian attack	1. Nf3 d5 2. g3 c5 3. Bg2
A08	Reti	Reti	King's Indian attack, French Variation 	1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. O-O e6 5. d3 Nf6 6. Nbd2 Be7 7. e4 O-O 8. Re1
A09	Reti	Reti Opening		1. Nf3 d5 2. c4
A09	Reti	Reti	Advance Variation 	1. Nf3 d5 2. c4 d4
A09	Reti	Reti accepted		1. Nf3 d5 2. c4 dxc4
A09	Reti	Reti accepted	Keres Variation 	1. Nf3 d5 2. c4 dxc4 3. e3 Be6
A10	English	English Opening		1. c4
A10	English	English Opening		1. c4 g6
A10	English	English	Adorjan defense	1. c4 g6 2. e4 e5
A10	English	English	Jaenisch gambit	1. c4 b5
A10	English	English	Anglo-Dutch defense	1. c4 f5
A11	English	English	Caro-Kann defensive system	1. c4 c6
A12	English	English	Caro-Kann defensive system	1. c4 c6 2. Nf3 d5 3. b3
A12	English	English	Torre defensive system	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. g3 Bg4
A12	English	English	London defensive system	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. g3 Bf5
A12	English	English	Caro-Kann defensive system	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. Bb2
A12	English	English	Bled Variation 	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. Bb2 g6
A12	English	English	New York (London) defensive system	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. Bb2 Bf5
A12	English	English	Capablanca's Variation 	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. Bb2 Bg4
A12	English	English	Caro-Kann defensive system, Bogolyubov Variation 	1. c4 c6 2. Nf3 d5 3. b3 Bg4
A13	English	English Opening		1. c4 e6
A13	English	English	Romanishin gambit	1. c4 e6 2. Nf3 Nf6 3. g3 a6 4. Bg2 b5
A13	English	English Opening	Agincourt Variation 	1. c4 e6 2. Nf3 d5
A13	English	English	Wimpey system	1. c4 e6 2. Nf3 d5 3. b3 Nf6 4. Bb2 c5 5. e3
A13	English	English Opening	Agincourt Variation 	1. c4 e6 2. Nf3 d5 3. g3
A13	English	English	Kurajica defense	1. c4 e6 2. Nf3 d5 3. g3 c6
